author	consortium	pmid	publication_date	trait	efo	analysis	source	outcome	exposure	covariates	outcome_unit	exposure_unit	array	tissue	further_details	n	n_studies	categories	age	n_males	n_females	n_eur	n_eas	n_sas	n_afr	n_amr	n_oth	id
Fasanelli F		26667048	2015-12-15	Lung cancer	EFO_0001071		Table 1	Lung cancer	DNA methylation	Cell counts and technical covariates		Beta values	Illumina HumanMethylation450	Whole blood	Regression coefficients are per 1-SD of DNA methylation	250	1	125 lung cancer cases, 125 controls	47		250	250						26667048_lung_cancer
Ek WE		26681806	2016-02-15	Growth differentiation factor 15	OMIT_0026290	Meta-analysis	Table S2	Growth differentiation factor 15	DNA methylation	Age, sex, cell counts and technical covariates		Beta values	Illumina HumanMethylation450	Whole blood	Regression coefficients are for inverse normally transformed growth differentiation factor 15	1680	2		61.7	865	815	1680						26681806_growth_differentiation_factor_15_metaanalysis
Ek WE		26681806	2016-02-15	Growth differentiation factor 15	OMIT_0026290	NSPHS study	Table S2	Growth differentiation factor 15	DNA methylation	Age, sex, cell counts and technical covariates		Beta values	Illumina HumanMethylation450	Whole blood	Regression coefficients are for inverse normally transformed growth differentiation factor 15	717	1		50.4	382	335	717						26681806_growth_differentiation_factor_15_nsphs_study
Ek WE		26681806	2016-02-15	Growth differentiation factor 15	OMIT_0026290	PIVUS study	Table S2	Growth differentiation factor 15	DNA methylation	Age, sex, cell counts and technical covariates		Beta values	Illumina HumanMethylation450	Whole blood	Regression coefficients are for inverse normally transformed growth differentiation factor 15	963	1		70.1	483	480	963						26681806_growth_differentiation_factor_15_pivus_study
Panni T		26731791	2016-07-01	Air pollution exposure	EFO_0008255	28-day trailing average particle matter concentration	Additional file 1	DNA methylation	Air pollution exposure	Age, sex, smoking, income, alcohol consumption, body mass index, cell counts and technical covariates	Beta values	mug/m3	Illumina HumanMethylation450	Whole blood	Regression coefficients per 10-muy/m3 increase in paricle matter polution	2956	3		62.2	1804	1152	2956						26731791_air_pollution_exposure_28day_trailing_average_particle_matter_concentration
Panni T		26731791	2016-07-01	Air pollution exposure	EFO_0008255	2-day trailing average particle matter concentration	Table 2	DNA methylation	Air pollution exposure	Age, sex, smoking, income, alcohol consumption, body mass index, cell counts and technical covariates	Beta values	mug/m3	Illumina HumanMethylation450	Whole blood	Regression coefficients per 10-muy/m3 increase in particle matter pollution	2956	3		62.2	1804	1152	2956						26731791_air_pollution_exposure_2day_trailing_average_particle_matter_concentration
Panni T		26731791	2016-07-01	Air pollution exposure	EFO_0008255	7-day trailing average particle matter concentration	Table 2	DNA methylation	Air pollution exposure	Age, sex, smoking, income, alcohol consumption, body mass index, cell counts and technical covariates	Beta values	mug/m3	Illumina HumanMethylation450	Whole blood	Regression coefficients per 10-muy/m3 increase in particle matter pollution	2956	3		62.2	1804	1152	2956						26731791_air_pollution_exposure_7day_trailing_average_particle_matter_concentration
Zhou F		26743604	2016-04-01	Psoriasis	EFO_0000676	Stage II	Table 1	DNA methylation	Psoriasis		Beta values		Illumina HumanMethylation450	Skin	Wilcoxon rank test	135	1	73 psoriatic skin samples, 62 normal skin samples	38.8	66	69		135					26743604_psoriasis_stage_ii
Zhou F		26743604	2016-04-01	Psoriasis	EFO_0000676	Stage III	Table 1	DNA methylation	Psoriasis		Beta values		Sequenom Epityper	Skin	Wilcoxon rank test	45	1	21 psoriatic skin samples, 24 normal skin samples	40.7	22	23		45					26743604_psoriasis_stage_iii
Zhu X		26756918	2016-07-01	Smoking	EFO_0006527, EFO_0005671, EFO_0004318		Table S1	DNA methylation	Smoking	Age, sex, alcohol consumption, body mass index and technical covariates	Beta values		Illumina HumanMethylation450	Whole blood	Regression coefficients are for inverse normally transformed DNA methylation	596	4	273 current smokers, 64 former smokers, 259 never smokers	53.9	472	124	596						26756918_smoking
Green BB		26771251	2016-08-01	Arsenic exposure	OBI_0002416	Placenta	Table S2	DNA methylation	Arsenic exposure	Offspring sex, maternal age, gestational age and cell counts	Beta values	mug/kg	Illumina HumanMethylation450	Placenta	Arsenic exposure was measured in the placenta	285	1		31.5		285	285						26771251_arsenic_exposure_placenta
Green BB		26771251	2016-08-01	Arsenic exposure	OBI_0002416	Toenail	Main text	DNA methylation	Arsenic exposure	Offspring sex, maternal age, gestational age and cell counts	Beta values	mug/kg	Illumina HumanMethylation450	Placenta	Arsenic exposure was measured in the toenails	257	1		31.5		257	257						26771251_arsenic_exposure_toenail
Mamtani M		26798409	2016-01-20	Hypertriglyceridemic waist	EFO_0004342, EFO_0004530		Table S2	Liability function of hypertriglyceridemic waist	DNA methylation	Age, sex, use of statin, use of anti-hypertensive, use of diabetic medications, cell counts and technical covariates	Beta values		Illumina HumanMethylation450	Peripheral blood		850	1		46.8	315	535							26798409_hypertriglyceridemic_waist
Zhang Y		26826776	2016-04-01	Serum cotinine	EFO_0007813	Discovery	Table 2	DNA methylation	Serum cotinine	Age, sex and technical covariates	Beta values	ng/ml	Illumina HumanMethylation450	Whole blood		500	1		62	247	253	500						26826776_serum_cotinine_discovery
Zhang Y		26826776	2016-04-01	Serum cotinine	EFO_0007813	Replication	Table 2	DNA methylation	Serum cotinine	Age, sex, body mass index, physical activity, total cholesterol, systolic blood pressure, prevalence of cardiovascular disease, diabetes, cancer, leukocyte, cell counts and technical covariates	Beta values	ng/ml	Illumina HumanMethylation450	Whole blood		500	1		62	253	247	500						26826776_serum_cotinine_replication
Sayols-Baixeras S		26829059	2015-01-01	Smoking	EFO_0006527, EFO_0005671, EFO_0004318	Current vs never smoking	Table S1	DNA methylation	Smoking	Age, sex, physical activity and technical covariates	M values		Illumina HumanMethylation450	Peripheral blood		449	1	107 current smokers, 342 never smokers	63.1	174	275	449						26829059_smoking_current_vs_never_smoking
Sayols-Baixeras S		26829059	2015-01-01	Smoking	EFO_0006527, EFO_0005671, EFO_0004318	Current vs never smoking adjusted for cell counts	Table S1	DNA methylation	Smoking	Age, sex, physical activity, cell counts and technical covariates	M values		Illumina HumanMethylation450	Peripheral blood		449	1	107 current smokers, 342 never smokers	63.1	174	275	449						26829059_smoking_current_vs_never_smoking_adjusted_for_cell_counts
Sayols-Baixeras S		26829059	2015-01-01	Smoking	EFO_0006527, EFO_0005671, EFO_0004318	Smoking status	Table S1	DNA methylation	Smoking	Age, sex, physical activity and technical covariates	M values		Illumina HumanMethylation450	Peripheral blood		645	1	107 current smokers, 196 former smokers, 342 never smokers	63.2	316	329	645						26829059_smoking_smoking_status
Imgenberg-Kreuz J		26857698	2016-11-01	Primary Sjogrens syndrome	EFO_0000699	CD19+ B cells	Table S6	DNA methylation	Primary Sjogrens syndrome	Age, sex and cell counts	Beta values		Illumina HumanMethylation450	CD19+ B cells		71	1	24 primary sjogrens syndrome cases, 47 controls		12	59	71						26857698_primary_sjogrens_syndrome_cd19_b_cells
Imgenberg-Kreuz J		26857698	2016-11-01	Primary Sjogrens syndrome	EFO_0000699	Whole blood	Table S1	DNA methylation	Primary Sjogrens syndrome	Age, sex and cell counts	Beta values		Illumina HumanMethylation450	Whole blood		500	1	100 primary sjogrens syndrome cases, 400 controls		60	440	500						26857698_primary_sjogrens_syndrome_whole_blood
Joubert BR		26861414	2016-02-10	Maternal plasma folate	EFO_0005111	Generation R	Additional file 1	DNA methylation	Maternal plasma folate	Maternal age, maternal education, smoking during pregnancy, parity and technical covariates	Beta values	log nmol l-1	Illumina HumanMethylation450	Cord blood		713	1		0			713						26861414_maternal_plasma_folate_generation_r
Joubert BR		26861414	2016-02-10	Maternal plasma folate	EFO_0005111	Meta-analysis	Additional file 1	DNA methylation	Maternal plasma folate	Maternal age, maternal education, smoking during pregnancy, parity and technical covariates	Beta values	log nmol l-1	Illumina HumanMethylation450	Cord blood		1988	2		0			1988						26861414_maternal_plasma_folate_metaanalysis
Joubert BR		26861414	2016-02-10	Maternal plasma folate	EFO_0005111	MoBa	Additional file 1	DNA methylation	Maternal plasma folate	Maternal age, maternal education, smoking during pregnancy, parity and technical covariates	Beta values	log nmol l-1	Illumina HumanMethylation450	Cord blood		1275	1		0			1275						26861414_maternal_plasma_folate_moba
Ambatipudi S		26864933	2016-05-01	Smoking	EFO_0006527, EFO_0005671, EFO_0004318	Current vs never smoking	Table S1	DNA methylation	Smoking	Age, breast cancer status, menopausal status, use of contraceptive pill, use of hormone replacement therapy and technical covariates	M values		Illumina HumanMethylation450	Peripheral blood		721	1	193 current smokers, 528 never smokers	52.6		721	721						26864933_smoking_current_vs_never_smoking
Ambatipudi S		26864933	2016-05-01	Smoking	EFO_0005671, EFO_0004318	Former vs never smoking	Table S2	DNA methylation	Smoking	Age, breast cancer status, menopausal status, use of contraceptive pill, use of hormone replacement therapy and technical covariates	M values		Illumina HumanMethylation450	Peripheral blood		717	1	189 former smokers, 528 never smokers	53.4		717	717						26864933_smoking_former_vs_never_smoking
Rijlaarsdam J		26889969	2016-02-18	Prenatal maternal stress	HP_0002686		Table S5	DNA methylation	Prenatal maternal stress	Sex, gestational age, maternal smoking during pregnancy, cell counts and technical covariates	Beta values		Illumina HumanMethylation450	Cord Blood		1740	1		0	894	846	1740						26889969_prenatal_maternal_stress
Suderman M		26953979	2016-05-01	25-Hydroxyvitamin D in pregnancy	EFO_0004631	Crude model	Table S1	DNA methylation	25-Hydroxyvitamin D in pregnancy		Beta values		Illumina HumanMethylation450	Cord blood	Regression coefficients are from the MoBa study	1416	2		0	737	679	1416						26953979_25hydroxyvitamin_d_in_pregnancy_crude_model
Suderman M		26953979	2016-05-01	25-Hydroxyvitamin D in pregnancy	EFO_0004631	Full model	Table S1	DNA methylation	25-Hydroxyvitamin D in pregnancy	Offspring sex, maternal age, maternal smoking, maternal education, maternal body mass index, parity, folate, cell counts and technical covariates	Beta values		Illumina HumanMethylation450	Cord blood	Regression coefficients are from the MoBa study	1416	2		0	737	679	1416						26953979_25hydroxyvitamin_d_in_pregnancy_full_model
Lockett GA		26973132	2016-09-01	Season of birth	EFO_0006921	Discovery	Table S3	DNA methylation	Season of birth	Sex, maternal socioeconomic status and technical covariates	Beta values		Illumina HumanMethylation450	Whole blood	Log-linear model was used for the analysis	367	1	122 winter births, 84 spring births, 71 summer births, 90 autumn births	18	122	245	367						26973132_season_of_birth_discovery
Lockett GA		26973132	2016-09-01	Season of birth	EFO_0006921	Replication	Table 3	DNA methylation	Season of birth	Sex, maternal socioeconomic status and technical covariates	Beta values		Illumina HumanMethylation450	Whole blood	Log-linear model was used for the analysis	207	1		8	107	100	207						26973132_season_of_birth_replication
Jylhava J		27015559	2016-04-12	Old-age mortality	EFO_0000480	2.55 years	Table S2	All-cause mortality	DNA methylation	Sex, cell counts and technical covariates	Beta values		Illumina HumanMethylation450	Whole blood	Regression coefficients are log-hazard ratios	111	1	36 deaths, 75 controls	90	81	30	111						27015559_oldage_mortality_255_years
Jylhava J		27015559	2016-04-12	Old-age mortality	EFO_0000480	4 years	Table S3	All-cause mortality	DNA methylation	Sex, cell counts and technical covariates		Beta values	Illumina HumanMethylation450	Whole blood	Regression coefficients are log-hazard ratios	111	1	53 deaths, 58 controls	90	81	30	111						27015559_oldage_mortality_4_years
Kriebel J		27019061	2016-03-28	2-hour glucose	EFO_0004468		Table 3	2-hour glucose	DNA methylation	Age, sex, smoking, cell counts and technical covariates	SD	Beta values	Illumina HumanMethylation450	Whole blood	Regression coefficients are per 1% increase in DNA methylation	1448	1		59	682	766	1448						27019061_2hour_glucose
Kriebel J		27019061	2016-03-28	2-hour glucose	EFO_0004468	Adjusted for BMI	Table 3	2-hour glucose	DNA methylation	Age, sex, smoking, body mass index, cell counts and technical covariates	SD	Beta values	Illumina HumanMethylation450	Whole blood	Regression coefficients are per 1% increase in DNA methylation	1448	1		59	682	766	1448						27019061_2hour_glucose_adjusted_for_bmi
Kriebel J		27019061	2016-03-28	2-hour insulin	EFO_0004467		Table 3	2-hour insulin	DNA methylation	Age, sex, smoking, cell counts and technical covariates	SD	Beta values	Illumina HumanMethylation450	Whole blood	Regression coefficients are per 1% increase in DNA methylation	617	1		68	298	319	617						27019061_2hour_insulin
Kriebel J		27019061	2016-03-28	2-hour insulin	EFO_0004467	Adjusted for BMI	Table 3	2-hour insulin	DNA methylation	Age, sex, smoking, body mass index, cell counts and technical covariates	SD	Beta values	Illumina HumanMethylation450	Whole blood	Regression coefficients are per 1% increase in DNA methylation	617	1		68	298	319	617						27019061_2hour_insulin_adjusted_for_bmi
Kriebel J		27019061	2016-03-28	Fasting glucose	EFO_0004465		Table 3	Fasting glucose	DNA methylation	Age, sex, smoking, cell counts and technical covariates	SD	Beta values	Illumina HumanMethylation450	Whole blood	Regression coefficients are per 1% increase in DNA methylation	1448	1		59	682	766	1448						27019061_fasting_glucose
Kriebel J		27019061	2016-03-28	Fasting glucose	EFO_0004465	Adjusted for BMI	Table 3	Fasting glucose	DNA methylation	Age, sex, smoking, body mass index, cell counts and technical covariates	SD	Beta values	Illumina HumanMethylation450	Whole blood	Regression coefficients are per 1% increase in DNA methylation	1448	1		59	682	766	1448						27019061_fasting_glucose_adjusted_for_bmi
Kriebel J		27019061	2016-03-28	Fasting insulin	EFO_0004466		Table 3	Fasting insulin	DNA methylation	Age, sex, smoking, cell counts and technical covariates	SD	Beta values	Illumina HumanMethylation450	Whole blood	Regression coefficients are per 1% increase in DNA methylation	1440	1		59	680	760	1440						27019061_fasting_insulin
Kriebel J		27019061	2016-03-28	Fasting insulin	EFO_0004466	Adjusted for BMI	Table 3	Fasting insulin	DNA methylation	Age, sex, smoking, body mass index, cell counts and technical covariates	SD	Beta values	Illumina HumanMethylation450	Whole blood	Regression coefficients are per 1% increase in DNA methylation	1440	1		59	680	760	1440						27019061_fasting_insulin_adjusted_for_bmi
Kriebel J		27019061	2016-03-28	HOMA-IR	EFO_0004501		Table 3	HOMA-IR	DNA methylation	Age, sex, smoking, cell counts and technical covariates	SD	Beta values	Illumina HumanMethylation450	Whole blood	Regression coefficients are per 1% increase in DNA methylation	1440	1		59	680	760	1440						27019061_homair
Kriebel J		27019061	2016-03-28	HOMA-IR	EFO_0004501	Adjusted for BMI	Table 3	HOMA-IR	DNA methylation	Age, sex, smoking, body mass index, cell counts and technical covariates	SD	Beta values	Illumina HumanMethylation450	Whole blood	Regression coefficients are per 1% increase in DNA methylation	1440	1		59	680	760	1440						27019061_homair_adjusted_for_bmi
Joubert BR	PACE	27040690	2016-04-07	Maternal smoking in pregnancy	EFO_0006527, EFO_0005671, EFO_0004318, EFO_0002950	Any maternal smoking in pregnancy effect on newborns	Table S3	DNA methylation	Maternal smoking in pregnancy	Maternal age, maternal education, parity and technical covariates	Beta values		Illumina HumanMethylation450	Cord blood		6685	13	1646 newborns exposed to any maternal smoking in pregnancy, 5039 newborns of non-smokers	0			5944	25		248	418	50	27040690_maternal_smoking_in_pregnancy_any_maternal_smoking_in_pregnancy_effect_on_newborns
Joubert BR	PACE	27040690	2016-04-07	Maternal smoking in pregnancy	EFO_0006527, EFO_0005671, EFO_0004318, EFO_0002950	Sustained maternal smoking in pregnancy effect on newborns	Table S3	DNA methylation	Maternal smoking in pregnancy	Maternal age, maternal education, parity and technical covariates	Beta values		Illumina HumanMethylation450	Cord blood		5647	9	897 newborns exposed to maternal smoking in pregnancy, 4750 newborns of non-smokers	0			5109			156	361	25	27040690_maternal_smoking_in_pregnancy_sustained_maternal_smoking_in_pregnancy_effect_on_newborns
Joubert BR	PACE	27040690	2016-04-07	Maternal smoking in pregnancy	EFO_0006527, EFO_0005671, EFO_0004318, EFO_0002950	Sustained maternal smoking in pregnancy effect on newborns adjusted for cell counts	Table S3	DNA methylation	Maternal smoking in pregnancy	Maternal age, maternal education, parity, white blood cell counts and technical covariates	Beta values		Illumina HumanMethylation450	Cord blood		5647	9	897 newborns exposed to maternal smoking in pregnancy, 4750 newborns of non-smokers	0			5109			156	361	25	27040690_maternal_smoking_in_pregnancy_sustained_maternal_smoking_in_pregnancy_effect_on_newborns_adjusted_for_cell_counts
Joubert BR	PACE	27040690	2016-04-07	Maternal smoking in pregnancy	EFO_0006527, EFO_0005671, EFO_0004318, EFO_0002950	Sustained maternal smoking in pregnancy effect on older children	Table S3	DNA methylation	Maternal smoking in pregnancy	Maternal age, maternal education, parity and technical covariates	Beta values		Illumina HumanMethylation450	Peripheral blood		3049	5	266 children exposed to maternal smoking in pregnancy, 2783 children of non-smokers	6.8			2484			67	330	168	27040690_maternal_smoking_in_pregnancy_sustained_maternal_smoking_in_pregnancy_effect_on_older_children
Kingsley SL		27058926	2016-07-01	Maternal residential proximity to major roadways	EFO_0007908	Adjusted for cell counts	Table 3	DNA methylation	Maternal residential proximity to major roadways	Offspring sex, maternal age, gestational age, maternal ethnicity, maternal pre-pregnancy BMI, maternal education, maternal prenatal vitamin use, annual household income, neighbourhood social economic status and cell counts	Beta values		Illumina HumanMethylation450	Placenta		471	1	98 near major roadway, 373 controls	0	244	227	361					110	27058926_maternal_residential_proximity_to_major_roadways_adjusted_for_cell_counts
Kingsley SL		27058926	2016-07-01	Maternal residential proximity to major roadways	EFO_0007908	Discovery	Table 3	DNA methylation	Maternal residential proximity to major roadways	Offspring sex, maternal age, gestational age, maternal ethnicity, maternal pre-pregnancy BMI, maternal education, maternal prenatal vitamin use, annual household income and neighbourhood social economic status	Beta values		Illumina HumanMethylation450	Placenta		471	1	98 near major roadway, 373 controls	0	244	227	361					110	27058926_maternal_residential_proximity_to_major_roadways_discovery
Montano C		27074206	2016-05-01	Schizophrenia	EFO_0000692	Discovery	Table S3	DNA methylation	Schizophrenia	Age, sex, smoking, ethnicity, cell counts and technical covariates	Beta values		Illumina HumanMethylation450	Whole blood		1334	3	689 schizophrenia cases, 645 controls	38.6	750	584	677			657			27074206_schizophrenia_discovery
Montano C		27074206	2016-05-01	Schizophrenia	EFO_0000692	Replication	Table S3	DNA methylation	Schizophrenia	Age, sex, smoking, cell counts and technical covariates	Beta values		Illumina HumanMethylation450	Whole blood		497	1	247 schizophrenia cases, 250 controls	35	378	119	497						27074206_schizophrenia_replication
Gross AM		27105112	2016-04-21	HIV infection	EFO_0000764	CD4+ T-cells	Table S2	DNA methylation	HIV infection	Age			Illumina HumanMethylation450	CD4+ T-cells		60	1	35 HIV cases, 25 controls	46.5	60		60						27105112_hiv_infection_cd4_tcells
Gross AM		27105112	2016-04-21	HIV infection	EFO_0000764	Discovery	Table S2	DNA methylation	HIV infection	Age and cell counts			Illumina HumanMethylation450	Whole blood		181	1	137 HIV cases, 44 controls	46.5	181		181						27105112_hiv_infection_discovery
Gross AM		27105112	2016-04-21	HIV infection	EFO_0000764	Neutrophils	Table S2	DNA methylation	HIV infection	Age			Illumina HumanMethylation450	Neutrophils		60	1	35 HIV cases, 25 controls	46.5	60		60						27105112_hiv_infection_neutrophils
Shui IM		27142338	2016-07-15	Smoking	EFO_0006527, EFO_0005671, EFO_0004318	Current vs never smoking	Table S1	DNA methylation	Smoking	Age, ethnicity, study centre and technical covariates	M values		Illumina HumanMethylation450	Prostate tumor		277	1	53 smokers, 224 non-smokers	57.4	277		251			26			27142338_smoking_current_vs_never_smoking
Rzehak P		27171005	2016-05-12	Maternal smoking during pregnancy	EFO_0006527, EFO_0005671, EFO_0004318, EFO_0002950	Discovery	Table 1	DNA methylation	Maternal smoking during pregnancy	Age, sex, study centre, maternal education, parental smoking, cell counts and technical covariates	Beta values		Illumina HumanMethylation450	Peripheral blood		366	1	58 cases, 308 controls	5.5	178	188	366						27171005_maternal_smoking_during_pregnancy_discovery
Rzehak P		27171005	2016-05-12	Maternal smoking during pregnancy	EFO_0006527, EFO_0005671, EFO_0004318, EFO_0002950	Replication SEED	Table S1	DNA methylation	Maternal smoking during pregnancy	Sex, ancestry, autism spectrum disorder, maternal age, maternal education and cell counts	Beta values		Illumina HumanMethylation450	Whole blood		528	1	23 cases, 505 controls	5	334	194	312	20		61	125	10	27171005_maternal_smoking_during_pregnancy_replication_seed
Walton E		27217153	2017-02-01	Attention deficit hyperactivity disorder trajectory	EFO_0003888	Age 7	Table 1	DNA methylation	Attention deficit hyperactivity disorder trajectory	Sex, cell counts and technical covariates	Beta values		Illumina HumanMethylation450	Whole blood	ADHD trajectories based on the DAWBA score were split into a binary variable of high or low trajectories	892	1	50 high trajectory, 842 low trajectory	7	446	446	892						27217153_attention_deficit_hyperactivity_disorder_trajectory_age_7
Walton E		27217153	2017-02-01	Attention deficit hyperactivity disorder trajectory	EFO_0003888	Birth	Table 1	DNA methylation	Attention deficit hyperactivity disorder trajectory	Sex, cell counts and technical covariates	Beta values		Illumina HumanMethylation450	Cord blood	ADHD trajectories based on the DAWBA score were split into a binary variable of high or low trajectories	817	1	40 high trajectory, 777 low trajectory	0	400	417	817						27217153_attention_deficit_hyperactivity_disorder_trajectory_birth
Hong X		27236499	2016-09-01	Cow milk allergy	EFO_0007019	Discovery	Table 1	DNA methylation	Cow milk allergy	Age, sex, breastfeeding, parental history of food allergy, genetic ancestry and cell counts	M values		Illumina HumanMethylation450	Whole blood		182	1	106 CMA cases, 76 controls	4.7	98	84	182						27236499_cow_milk_allergy_discovery
Hong X		27236499	2016-09-01	Cow milk allergy	EFO_0007019	Replication Boston	Table 1	DNA methylation	Cow milk allergy	Sex, gestational age group, parental history of food allergy and cell counts	M values		Illumina HumanMethylation450	Cord blood		140	1	8 CMA cases, 132 controls	3	86	54				140			27236499_cow_milk_allergy_replication_boston
Hong X		27236499	2016-09-01	Cow milk allergy	EFO_0007019	Replication Chigaco	Table 1	DNA methylation	Cow milk allergy	Age and cell counts	M values		Illumina HumanMethylation450	Whole blood		25	1	5 CMA cases, 20 controls	8.7	17	8	25						27236499_cow_milk_allergy_replication_chigaco
Zhao S		27358489	2017-01-01	Prostate cancer progression	EFO_0001663, EFO_0005615	Discovery	Table 2	DNA methylation	Prostate cancer progression	Technical covariates	M values		Illumina HumanMethylation450	Prostate tumor		327	1	24 metastatic-lethal, 303 non-recurrent	58.2	327	0	327						27358489_prostate_cancer_progression_discovery
Zhao S		27358489	2017-01-01	Prostate cancer progression	EFO_0001663, EFO_0005615	Replication	Table 3	DNA methylation	Prostate cancer progression	Technical covariates	M values		Illumina HumanMethylation450	Prostate tumor		65	1	24 metastatic-lethal, 41 non-recurrent	60.2	65	0	65						27358489_prostate_cancer_progression_replication
Portales-Casamar E		27358653	2016-06-29	Fetal alcohol spectrum disorder	NCIT_C92780		Table S1	DNA methylation	Fetal alcohol spectrum disorder	Technical covariates	M values		Illumina HumanMethylation450	Buccal		206	1	110 fetal alcohol spectrum disorder cases, 96 controls	11.4	90	116	117					89	27358653_fetal_alcohol_spectrum_disorder
Paquette AG		27366929	2016-08-02	Infant attention	EFO_0007636		Table 3	Infant attention	DNA methylation	Offspring sex, birth weight group and cell counts	SD	Beta values	Illumina HumanMethylation450	Placenta	DNA methylation in mothers placenta depicted as a 1 percent increase	335	1		0	163	172	254					81	27366929_infant_attention
Markunas CA		27383059	2016-07-06	Maternal age at delivery	EFO_0007908	Adjusted for cell counts	Table S2	DNA methylation	Maternal age at delivery	Offspring sex, offspring facial cleft, offspring birth year, offspring birth weight, maternal alcohol use, maternal smoking, maternal education, parity, cell counts and technical covariates	Beta values	years	Illumina HumanMethylation450	Cord blood		890	1		0	505	385	890						27383059_maternal_age_at_delivery_adjusted_for_cell_counts
Markunas CA		27383059	2016-07-06	Maternal age at delivery	CMO_0000391	Discovery	Table S2	DNA methylation	Maternal age at delivery	Offspring sex, offspring facial cleft, offspring birth year, offspring birth weight, maternal alcohol use, maternal smoking, maternal education, parity and technical covariates	Beta values	years	Illumina HumanMethylation450	Cord blood		890	1		0	505	385	890						27383059_maternal_age_at_delivery_discovery
Markunas CA		27383059	2016-07-06	Maternal age at delivery	CMO_0000391	Replication MoBa	Table S5	DNA methylation	Maternal age at delivery	Offspring sex, offspring birth year, offspring birth weight, offspring asthma status at 3 years, maternal smoking, maternal education, parity and technical covariates	Beta values	years	Illumina HumanMethylation450	Cord blood		1062	1		0	566	496	1062						27383059_maternal_age_at_delivery_replication_moba
Markunas CA		27383059	2016-07-06	Maternal age at delivery	CMO_0000391	Replication Sisters Study	Table S5	DNA methylation	Maternal age at delivery	Offspring age, offspring birth year, offspring birth weight, offspring breast cancer status, maternal smoking, maternal education, parity and technical covariates	Beta values	years	Illumina HumanMethylation450	Whole blood		200	1		50	0	200	200						27383059_maternal_age_at_delivery_replication_sisters_study
Gruzieva O	PACE	27448387	2017-01-01	Prenatal NO2 exposure	EFO_0007908	Adjusted for cell counts	Table S2	DNA methylation	Prenatal NO2 exposure	Sex, maternal smoking during pregnancy, study-specific variables, cell counts and technical covariates	Beta values	mg/m3	Illumina HumanMethylation450	Cord blood		1508	4		0	776	732	1508						27448387_prenatal_no2_exposure_adjusted_for_cell_counts
Gruzieva O	PACE	27448387	2017-01-01	Prenatal NO2 exposure	EFO_0007908	Discovery	Table 2	DNA methylation	Prenatal NO2 exposure	Sex, maternal smoking during pregnancy, study-specific variables and technical covariates	Beta values	mg/m3	Illumina HumanMethylation450	Cord blood		1508	4		0	776	732	1508						27448387_prenatal_no2_exposure_discovery
Ali O		27564309	2016-09-01	Body mass index	EFO_0004340	Discovery	Table 2	DNA methylation	Body mass index	Age, sex, cell counts and technical covariates	M values		Illumina HumanMethylation450	Peripheral blood mononuclear cells	DNA methylation and body mass index percentile values were inverse normally rank transformed	192	1		36.2	86	106	192						27564309_body_mass_index_discovery
Ali O		27564309	2016-09-01	Body mass index	EFO_0004340	Validation	Table 3	DNA methylation	Body mass index	Age, sex, cell counts and technical covariates	M values		Bisulfite pyrosequencing	Peripheral blood mononuclear cells	DNA methylation and body mass index percentile values were inverse normally rank transformed	1052	1		39	431	621	1052						27564309_body_mass_index_validation
Morrow JD		27564456	2016-08-26	Chronic obstructive pulmonary disease	EFO_0000341		Table S2	DNA methylation	Chronic obstructive pulmonary disease	Age, sex, smoking pack-years, ethnicity and technical covariates	Beta values		Illumina HumanMethylation450	Lung		160	1	116 COPD cases, 46 controls	63.9	71	89	131			25		4	27564456_chronic_obstructive_pulmonary_disease
Hannon E		27572077	2016-08-30	Schizophrenia	EFO_0000692	Phase 1	Table S3	DNA methylation	Schizophrenia	Age, sex, smoking, cell counts and technical covariates	Beta values		Illumina HumanMethylation450	Whole blood		675	1	353 schizophrenia cases, 322 controls				675						27572077_schizophrenia_phase_1
Hannon E		27572077	2016-08-30	Schizophrenia	EFO_0000692	Phase 2	Table S3	DNA methylation	Schizophrenia	Age, sex, smoking, cell counts and technical covariates	Beta values		Illumina HumanMethylation450	Whole blood		847	1	414 schizophrenia cases, 433 controls				847						27572077_schizophrenia_phase_2
Hannon E		27572077	2016-08-30	Schizophrenia	EFO_0000692	Phase 3	Table S3	DNA methylation	Schizophrenia	Age, sex, smoking, cell counts and technical covariates	Beta values		Illumina HumanMethylation450	Whole blood		192	1	87 schizophrenia cases, 105 controls				192						27572077_schizophrenia_phase_3
Morales E		27591263	2016-10-01	Smoking during pregnancy	EFO_0006527, EFO_0005671, EFO_0004318, EFO_0002950	Discovery	Table 2	DNA methylation	Smoking during pregnancy	Age, social class, parity, area of study, offspring gender and technical covariates	Beta values		Illumina HumanMethylation450	Placenta		179	1	28 smokers, 151 non-smokers	31.1		179	179						27591263_smoking_during_pregnancy_discovery
Morales E		27591263	2016-10-01	Smoking during pregnancy	EFO_0006527, EFO_0005671, EFO_0004318, EFO_0002950	Replication	Table 3	DNA methylation	Smoking during pregnancy	Age, social class, parity, area of study, offspring gender and technical covariates	Beta values		Bisulfite pyrosequencing	Placenta		248	1	40 smokers, 208 non-smokers	30.8		248	248						27591263_smoking_during_pregnancy_replication
