Author	Consortium	PMID	Date	Trait	EFO	Analysis	Source	Outcome	Exposure	Covariates	Outcome_Units	Exposure_Units	Methylation_Array	Tissue	Further_Details	N	N_Cohorts	Categories	Age	N_Males	N_Females	N_EUR	N_EAS	N_SAS	N_AFR	N_AMR	N_OTH	StudyID
Battram T	ARIES	-	09/04/2019	Leg total mass both	-	-	-	DNA methylation	Leg total mass both	Age and technical covariates	Beta values	g	Illumina HumanMethylation450	Whole blood	-	691	1	-	48	-	691	691	-	-	-	-	-	Battram-T_leg_total_mass_both
Battram T	ARIES	-	09/04/2019	Leucine	EFO_0009770	-	-	DNA methylation	Leucine	Age and technical covariates	Beta values	mmol/l	Illumina HumanMethylation450	Whole blood	-	671	1	-	48	-	671	671	-	-	-	-	-	Battram-T_leucine
Battram T	ARIES	-	09/04/2019	Mean diameter for HDL particles	EFO_0008592	-	-	DNA methylation	Mean diameter for HDL particles	Age and technical covariates	Beta values	nm	Illumina HumanMethylation450	Whole blood	-	672	1	-	48	-	672	672	-	-	-	-	-	Battram-T_mean_diameter_for_hdl_particles
Battram T	ARIES	-	09/04/2019	Mean diameter for LDL particles	EFO_0007677	-	-	DNA methylation	Mean diameter for LDL particles	Age and technical covariates	Beta values	nm	Illumina HumanMethylation450	Whole blood	-	667	1	-	48	-	667	667	-	-	-	-	-	Battram-T_mean_diameter_for_ldl_particles
Battram T	ARIES	-	09/04/2019	Mean diameter for VLDL particles	EFO_0008594	-	-	DNA methylation	Mean diameter for VLDL particles	Age and technical covariates	Beta values	nm	Illumina HumanMethylation450	Whole blood	-	672	1	-	48	-	672	672	-	-	-	-	-	Battram-T_mean_diameter_for_vldl_particles
Battram T	ARIES	-	09/04/2019	Monounsaturated fatty acids 16:1 18:1	EFO_0005110	-	-	DNA methylation	Monounsaturated fatty acids 16:1 18:1	Age and technical covariates	Beta values	mmol/l	Illumina HumanMethylation450	Whole blood	-	654	1	-	48	-	654	654	-	-	-	-	-	Battram-T_monounsaturated_fatty_acids_16:1_18:1
Battram T	ARIES	-	09/04/2019	Omega 3 fatty acids	EFO_0005110	-	-	DNA methylation	Omega 3 fatty acids	Age and technical covariates	Beta values	mmol/l	Illumina HumanMethylation450	Whole blood	-	657	1	-	48	-	657	657	-	-	-	-	-	Battram-T_omega_3_fatty_acids
Battram T	ARIES	-	09/04/2019	Omega 6 fatty acids	EFO_0005680	-	-	DNA methylation	Omega 6 fatty acids	Age and technical covariates	Beta values	mmol/l	Illumina HumanMethylation450	Whole blood	-	659	1	-	48	-	659	659	-	-	-	-	-	Battram-T_omega_6_fatty_acids
Battram T	ARIES	-	09/04/2019	Pelvis area	-	-	-	DNA methylation	Pelvis area	Age and technical covariates	Beta values	cm2	Illumina HumanMethylation450	Whole blood	-	693	1	-	48	-	693	693	-	-	-	-	-	Battram-T_pelvis_area
Battram T	ARIES	-	09/04/2019	Pelvis bone mineral content	EFO_0007621	-	-	DNA methylation	Pelvis bone mineral content	Age and technical covariates	Beta values	g	Illumina HumanMethylation450	Whole blood	-	693	1	-	48	-	693	693	-	-	-	-	-	Battram-T_pelvis_bone_mineral_content
Battram T	ARIES	-	09/04/2019	Pelvis bone mineral density	EFO_0007591	-	-	DNA methylation	Pelvis bone mineral density	Age and technical covariates	Beta values	g/cm2	Illumina HumanMethylation450	Whole blood	-	693	1	-	48	-	693	693	-	-	-	-	-	Battram-T_pelvis_bone_mineral_density
Battram T	ARIES	-	09/04/2019	Phenylalanine	EFO_0005001	-	-	DNA methylation	Phenylalanine	Age and technical covariates	Beta values	mmol/l	Illumina HumanMethylation450	Whole blood	-	669	1	-	48	-	669	669	-	-	-	-	-	Battram-T_phenylalanine
Battram T	ARIES	-	09/04/2019	Phosphatidylcholine and other cholines	-	-	-	DNA methylation	Phosphatidylcholine and other cholines	Age and technical covariates	Beta values	mmol/l	Illumina HumanMethylation450	Whole blood	-	653	1	-	48	-	653	653	-	-	-	-	-	Battram-T_phosphatidylcholine_and_other_cholines
Battram T	ARIES	-	09/04/2019	Phospholipids in chylomicrons and extremely large VLDL	EFO_0004639	-	-	DNA methylation	Phospholipids in chylomicrons and extremely large VLDL	Age and technical covariates	Beta values	mmol/l	Illumina HumanMethylation450	Whole blood	-	644	1	-	48	-	644	644	-	-	-	-	-	Battram-T_phospholipids_in_chylomicrons_and_extremely_large_vldl
Battram T	ARIES	-	09/04/2019	Phospholipids in IDL	EFO_0004639	-	-	DNA methylation	Phospholipids in IDL	Age and technical covariates	Beta values	mmol/l	Illumina HumanMethylation450	Whole blood	-	671	1	-	48	-	671	671	-	-	-	-	-	Battram-T_phospholipids_in_idl
Battram T	ARIES	-	09/04/2019	Phospholipids in large HDL	EFO_0004639	-	-	DNA methylation	Phospholipids in large HDL	Age and technical covariates	Beta values	mmol/l	Illumina HumanMethylation450	Whole blood	-	672	1	-	48	-	672	672	-	-	-	-	-	Battram-T_phospholipids_in_large_hdl
Battram T	ARIES	-	09/04/2019	Phospholipids in large LDL	EFO_0004639	-	-	DNA methylation	Phospholipids in large LDL	Age and technical covariates	Beta values	mmol/l	Illumina HumanMethylation450	Whole blood	-	672	1	-	48	-	672	672	-	-	-	-	-	Battram-T_phospholipids_in_large_ldl
Battram T	ARIES	-	09/04/2019	Phospholipids in large VLDL	EFO_0004639	-	-	DNA methylation	Phospholipids in large VLDL	Age and technical covariates	Beta values	mmol/l	Illumina HumanMethylation450	Whole blood	-	656	1	-	48	-	656	656	-	-	-	-	-	Battram-T_phospholipids_in_large_vldl
Battram T	ARIES	-	09/04/2019	Phospholipids in medium HDL	EFO_0004639	-	-	DNA methylation	Phospholipids in medium HDL	Age and technical covariates	Beta values	mmol/l	Illumina HumanMethylation450	Whole blood	-	672	1	-	48	-	672	672	-	-	-	-	-	Battram-T_phospholipids_in_medium_hdl
Battram T	ARIES	-	09/04/2019	Phospholipids in medium LDL	EFO_0004639	-	-	DNA methylation	Phospholipids in medium LDL	Age and technical covariates	Beta values	mmol/l	Illumina HumanMethylation450	Whole blood	-	672	1	-	48	-	672	672	-	-	-	-	-	Battram-T_phospholipids_in_medium_ldl
Battram T	ARIES	-	09/04/2019	Phospholipids in medium VLDL	EFO_0004639	-	-	DNA methylation	Phospholipids in medium VLDL	Age and technical covariates	Beta values	mmol/l	Illumina HumanMethylation450	Whole blood	-	663	1	-	48	-	663	663	-	-	-	-	-	Battram-T_phospholipids_in_medium_vldl
Battram T	ARIES	-	09/04/2019	Phospholipids in small HDL	EFO_0004639	-	-	DNA methylation	Phospholipids in small HDL	Age and technical covariates	Beta values	mmol/l	Illumina HumanMethylation450	Whole blood	-	671	1	-	48	-	671	671	-	-	-	-	-	Battram-T_phospholipids_in_small_hdl
Battram T	ARIES	-	09/04/2019	Phospholipids in small LDL	EFO_0004639	-	-	DNA methylation	Phospholipids in small LDL	Age and technical covariates	Beta values	mmol/l	Illumina HumanMethylation450	Whole blood	-	672	1	-	48	-	672	672	-	-	-	-	-	Battram-T_phospholipids_in_small_ldl
Battram T	ARIES	-	09/04/2019	Phospholipids in small VLDL	EFO_0004639	-	-	DNA methylation	Phospholipids in small VLDL	Age and technical covariates	Beta values	mmol/l	Illumina HumanMethylation450	Whole blood	-	670	1	-	48	-	670	670	-	-	-	-	-	Battram-T_phospholipids_in_small_vldl
Battram T	ARIES	-	09/04/2019	Phospholipids in very large HDL	EFO_0004639	-	-	DNA methylation	Phospholipids in very large HDL	Age and technical covariates	Beta values	mmol/l	Illumina HumanMethylation450	Whole blood	-	670	1	-	48	-	670	670	-	-	-	-	-	Battram-T_phospholipids_in_very_large_hdl
Battram T	ARIES	-	09/04/2019	Phospholipids in very large VLDL	EFO_0004639	-	-	DNA methylation	Phospholipids in very large VLDL	Age and technical covariates	Beta values	mmol/l	Illumina HumanMethylation450	Whole blood	-	614	1	-	48	-	614	614	-	-	-	-	-	Battram-T_phospholipids_in_very_large_vldl
Battram T	ARIES	-	09/04/2019	Phospholipids in very small VLDL	EFO_0004639	-	-	DNA methylation	Phospholipids in very small VLDL	Age and technical covariates	Beta values	mmol/l	Illumina HumanMethylation450	Whole blood	-	672	1	-	48	-	672	672	-	-	-	-	-	Battram-T_phospholipids_in_very_small_vldl
Battram T	ARIES	-	09/04/2019	Phospholipids to total lipds ratio in IDL	EFO_0004639	-	-	DNA methylation	Phospholipids to total lipds ratio in IDL	Age and technical covariates	Beta values	percent	Illumina HumanMethylation450	Whole blood	-	657	1	-	48	-	657	657	-	-	-	-	-	Battram-T_phospholipids_to_total_lipds_ratio_in_idl
Battram T	ARIES	-	09/04/2019	Phospholipids to total lipds ratio in large HDL	EFO_0004639	-	-	DNA methylation	Phospholipids to total lipds ratio in large HDL	Age and technical covariates	Beta values	percent	Illumina HumanMethylation450	Whole blood	-	669	1	-	48	-	669	669	-	-	-	-	-	Battram-T_phospholipids_to_total_lipds_ratio_in_large_hdl
Battram T	ARIES	-	09/04/2019	Phospholipids to total lipds ratio in large LDL	EFO_0004639	-	-	DNA methylation	Phospholipids to total lipds ratio in large LDL	Age and technical covariates	Beta values	percent	Illumina HumanMethylation450	Whole blood	-	667	1	-	48	-	667	667	-	-	-	-	-	Battram-T_phospholipids_to_total_lipds_ratio_in_large_ldl
Battram T	ARIES	-	09/04/2019	Phospholipids to total lipds ratio in large VLDL	EFO_0004639	-	-	DNA methylation	Phospholipids to total lipds ratio in large VLDL	Age and technical covariates	Beta values	percent	Illumina HumanMethylation450	Whole blood	-	621	1	-	48	-	621	621	-	-	-	-	-	Battram-T_phospholipids_to_total_lipds_ratio_in_large_vldl
Battram T	ARIES	-	09/04/2019	Phospholipids to total lipds ratio in medium HDL	EFO_0004639	-	-	DNA methylation	Phospholipids to total lipds ratio in medium HDL	Age and technical covariates	Beta values	percent	Illumina HumanMethylation450	Whole blood	-	664	1	-	48	-	664	664	-	-	-	-	-	Battram-T_phospholipids_to_total_lipds_ratio_in_medium_hdl
Battram T	ARIES	-	09/04/2019	Phospholipids to total lipds ratio in medium LDL	EFO_0004639	-	-	DNA methylation	Phospholipids to total lipds ratio in medium LDL	Age and technical covariates	Beta values	percent	Illumina HumanMethylation450	Whole blood	-	663	1	-	48	-	663	663	-	-	-	-	-	Battram-T_phospholipids_to_total_lipds_ratio_in_medium_ldl
Battram T	ARIES	-	09/04/2019	Phospholipids to total lipds ratio in medium VLDL	EFO_0004639	-	-	DNA methylation	Phospholipids to total lipds ratio in medium VLDL	Age and technical covariates	Beta values	percent	Illumina HumanMethylation450	Whole blood	-	664	1	-	48	-	664	664	-	-	-	-	-	Battram-T_phospholipids_to_total_lipds_ratio_in_medium_vldl
Battram T	ARIES	-	09/04/2019	Phospholipids to total lipds ratio in small HDL	EFO_0004639	-	-	DNA methylation	Phospholipids to total lipds ratio in small HDL	Age and technical covariates	Beta values	percent	Illumina HumanMethylation450	Whole blood	-	671	1	-	48	-	671	671	-	-	-	-	-	Battram-T_phospholipids_to_total_lipds_ratio_in_small_hdl
Battram T	ARIES	-	09/04/2019	Phospholipids to total lipds ratio in small LDL	EFO_0004639	-	-	DNA methylation	Phospholipids to total lipds ratio in small LDL	Age and technical covariates	Beta values	percent	Illumina HumanMethylation450	Whole blood	-	666	1	-	48	-	666	666	-	-	-	-	-	Battram-T_phospholipids_to_total_lipds_ratio_in_small_ldl
Battram T	ARIES	-	09/04/2019	Phospholipids to total lipds ratio in small VLDL	EFO_0004639	-	-	DNA methylation	Phospholipids to total lipds ratio in small VLDL	Age and technical covariates	Beta values	percent	Illumina HumanMethylation450	Whole blood	-	667	1	-	48	-	667	667	-	-	-	-	-	Battram-T_phospholipids_to_total_lipds_ratio_in_small_vldl
Battram T	ARIES	-	09/04/2019	Phospholipids to total lipds ratio in very large HDL	EFO_0004639	-	-	DNA methylation	Phospholipids to total lipds ratio in very large HDL	Age and technical covariates	Beta values	percent	Illumina HumanMethylation450	Whole blood	-	665	1	-	48	-	665	665	-	-	-	-	-	Battram-T_phospholipids_to_total_lipds_ratio_in_very_large_hdl
Battram T	ARIES	-	09/04/2019	Phospholipids to total lipds ratio in very large VLDL	EFO_0004639	-	-	DNA methylation	Phospholipids to total lipds ratio in very large VLDL	Age and technical covariates	Beta values	percent	Illumina HumanMethylation450	Whole blood	-	637	1	-	48	-	637	637	-	-	-	-	-	Battram-T_phospholipids_to_total_lipds_ratio_in_very_large_vldl
Battram T	ARIES	-	09/04/2019	Phospholipids to total lipds ratio in very small VLDL	EFO_0004639	-	-	DNA methylation	Phospholipids to total lipds ratio in very small VLDL	Age and technical covariates	Beta values	percent	Illumina HumanMethylation450	Whole blood	-	664	1	-	48	-	664	664	-	-	-	-	-	Battram-T_phospholipids_to_total_lipds_ratio_in_very_small_vldl
Battram T	ARIES	-	09/04/2019	Phospholipids to total lipids ratio in chylomicrons and XXL-VLDL	EFO_0004639	-	-	DNA methylation	Phospholipids to total lipids ratio in chylomicrons and XXL-VLDL	Age and technical covariates	Beta values	percent	Illumina HumanMethylation450	Whole blood	-	613	1	-	48	-	613	613	-	-	-	-	-	Battram-T_phospholipids_to_total_lipids_ratio_in_chylomicrons_and_xxl-vldl
Battram T	ARIES	-	09/04/2019	Polyunsaturated fatty acids	EFO_0005110	-	-	DNA methylation	Polyunsaturated fatty acids	Age and technical covariates	Beta values	mmol/l	Illumina HumanMethylation450	Whole blood	-	660	1	-	48	-	660	660	-	-	-	-	-	Battram-T_polyunsaturated_fatty_acids
Battram T	ARIES	-	09/04/2019	Pyruvate	-	-	-	DNA methylation	Pyruvate	Age and technical covariates	Beta values	mmol/l	Illumina HumanMethylation450	Whole blood	-	667	1	-	48	-	667	667	-	-	-	-	-	Battram-T_pyruvate
Battram T	ARIES	-	09/04/2019	Ratio of 18:2 linoleic acid to total fatty acids	-	-	-	DNA methylation	Ratio of 18:2 linoleic acid to total fatty acids	Age and technical covariates	Beta values	percent	Illumina HumanMethylation450	Whole blood	-	658	1	-	48	-	658	658	-	-	-	-	-	Battram-T_ratio_of_18:2_linoleic_acid_to_total_fatty_acids
Battram T	ARIES	-	09/04/2019	Ratio of 22:6 docosahexaenoic acid to total fatty acids	EFO_0005110	-	-	DNA methylation	Ratio of 22:6 docosahexaenoic acid to total fatty acids	Age and technical covariates	Beta values	percent	Illumina HumanMethylation450	Whole blood	-	658	1	-	48	-	658	658	-	-	-	-	-	Battram-T_ratio_of_22:6_docosahexaenoic_acid_to_total_fatty_acids
Battram T	ARIES	-	09/04/2019	Ratio of apolipoprotein B to apolipoprotein A I	-	-	-	DNA methylation	Ratio of apolipoprotein B to apolipoprotein A I	Age and technical covariates	Beta values		Illumina HumanMethylation450	Whole blood	-	672	1	-	48	-	672	672	-	-	-	-	-	Battram-T_ratio_of_apolipoprotein_b_to_apolipoprotein_a_i
Battram T	ARIES	-	09/04/2019	Ratio of conjugated linoleic acid to total fatty acids	-	-	-	DNA methylation	Ratio of conjugated linoleic acid to total fatty acids	Age and technical covariates	Beta values	percent	Illumina HumanMethylation450	Whole blood	-	651	1	-	48	-	651	651	-	-	-	-	-	Battram-T_ratio_of_conjugated_linoleic_acid_to_total_fatty_acids
Battram T	ARIES	-	09/04/2019	Ratio of diacylglycerol to triglycerides	-	-	-	DNA methylation	Ratio of diacylglycerol to triglycerides	Age and technical covariates	Beta values		Illumina HumanMethylation450	Whole blood	-	633	1	-	48	-	633	633	-	-	-	-	-	Battram-T_ratio_of_diacylglycerol_to_triglycerides
Battram T	ARIES	-	09/04/2019	Ratio of monounsaturated fatty acids to total fatty acids	-	-	-	DNA methylation	Ratio of monounsaturated fatty acids to total fatty acids	Age and technical covariates	Beta values	percent	Illumina HumanMethylation450	Whole blood	-	656	1	-	48	-	656	656	-	-	-	-	-	Battram-T_ratio_of_monounsaturated_fatty_acids_to_total_fatty_acids
Battram T	ARIES	-	09/04/2019	Ratio of omega 3 fatty acids to total fatty acids	-	-	-	DNA methylation	Ratio of omega 3 fatty acids to total fatty acids	Age and technical covariates	Beta values	percent	Illumina HumanMethylation450	Whole blood	-	649	1	-	48	-	649	649	-	-	-	-	-	Battram-T_ratio_of_omega_3_fatty_acids_to_total_fatty_acids
Battram T	ARIES	-	09/04/2019	Ratio of omega 6 fatty acids to total fatty acids	-	-	-	DNA methylation	Ratio of omega 6 fatty acids to total fatty acids	Age and technical covariates	Beta values	percent	Illumina HumanMethylation450	Whole blood	-	658	1	-	48	-	658	658	-	-	-	-	-	Battram-T_ratio_of_omega_6_fatty_acids_to_total_fatty_acids
Battram T	ARIES	-	09/04/2019	Ratio of polyunsaturated fatty acids to total fatty acids	-	-	-	DNA methylation	Ratio of polyunsaturated fatty acids to total fatty acids	Age and technical covariates	Beta values	percent	Illumina HumanMethylation450	Whole blood	-	658	1	-	48	-	658	658	-	-	-	-	-	Battram-T_ratio_of_polyunsaturated_fatty_acids_to_total_fatty_acids
Battram T	ARIES	-	09/04/2019	Ratio of saturated fatty acids to total fatty acids	-	-	-	DNA methylation	Ratio of saturated fatty acids to total fatty acids	Age and technical covariates	Beta values	percent	Illumina HumanMethylation450	Whole blood	-	658	1	-	48	-	658	658	-	-	-	-	-	Battram-T_ratio_of_saturated_fatty_acids_to_total_fatty_acids
Battram T	ARIES	-	09/04/2019	Ratio of triglycerides to phosphoglycerides	-	-	-	DNA methylation	Ratio of triglycerides to phosphoglycerides	Age and technical covariates	Beta values		Illumina HumanMethylation450	Whole blood	-	650	1	-	48	-	650	650	-	-	-	-	-	Battram-T_ratio_of_triglycerides_to_phosphoglycerides
Battram T	ARIES	-	09/04/2019	Remnant cholesterol non-HDL or non-LDL cholesterol	-	-	-	DNA methylation	Remnant cholesterol non-HDL or non-LDL cholesterol	Age and technical covariates	Beta values	mmol/l	Illumina HumanMethylation450	Whole blood	-	671	1	-	48	-	671	671	-	-	-	-	-	Battram-T_remnant_cholesterol_non-hdl_or_non-ldl_cholesterol
Battram T	ARIES	-	09/04/2019	Ribs area	-	-	-	DNA methylation	Ribs area	Age and technical covariates	Beta values	cm2	Illumina HumanMethylation450	Whole blood	-	693	1	-	48	-	693	693	-	-	-	-	-	Battram-T_ribs_area
Battram T	ARIES	-	09/04/2019	Ribs bone mineral content	-	-	-	DNA methylation	Ribs bone mineral content	Age and technical covariates	Beta values	g	Illumina HumanMethylation450	Whole blood	-	692	1	-	48	-	692	692	-	-	-	-	-	Battram-T_ribs_bone_mineral_content
Battram T	ARIES	-	09/04/2019	Ribs bone mineral density	EFO_0007591	-	-	DNA methylation	Ribs bone mineral density	Age and technical covariates	Beta values	g/cm2	Illumina HumanMethylation450	Whole blood	-	689	1	-	48	-	689	689	-	-	-	-	-	Battram-T_ribs_bone_mineral_density
Battram T	ARIES	-	09/04/2019	Saturated fatty acids	EFO_0005110	-	-	DNA methylation	Saturated fatty acids	Age and technical covariates	Beta values	mmol/l	Illumina HumanMethylation450	Whole blood	-	656	1	-	48	-	656	656	-	-	-	-	-	Battram-T_saturated_fatty_acids
Battram T	ARIES	-	09/04/2019	Serum total cholesterol	EFO_0004574	-	-	DNA methylation	Serum total cholesterol	Age and technical covariates	Beta values	mmol/l	Illumina HumanMethylation450	Whole blood	-	672	1	-	48	-	672	672	-	-	-	-	-	Battram-T_serum_total_cholesterol
Battram T	ARIES	-	09/04/2019	Triglycerides	EFO_0004530	-	-	DNA methylation	Triglycerides	Age and technical covariates	Beta values	mmol/l	Illumina HumanMethylation450	Whole blood	-	663	1	-	48	-	663	663	-	-	-	-	-	Battram-T_triglycerides
Battram T	ARIES	-	09/04/2019	Sex hormone-binding globulin	EFO_0003941	-	-	DNA methylation	Sex hormone-binding globulin	Age and technical covariates	Beta values	nmol/l	Illumina HumanMethylation450	Whole blood	-	637	1	-	48	-	637	637	-	-	-	-	-	Battram-T_sex_hormone-binding_globulin
Battram T	ARIES	-	09/04/2019	Sitting height	EFO_0004339	-	-	DNA methylation	Sitting height	Age and technical covariates	Beta values	cm	Illumina HumanMethylation450	Whole blood	-	699	1	-	48	-	699	699	-	-	-	-	-	Battram-T_sitting_height
Battram T	ARIES	-	09/04/2019	Spine area	-	-	-	DNA methylation	Spine area	Age and technical covariates	Beta values	cm2	Illumina HumanMethylation450	Whole blood	-	686	1	-	48	-	686	686	-	-	-	-	-	Battram-T_spine_area
Battram T	ARIES	-	09/04/2019	Spine bone mineral content	EFO_0007621	-	-	DNA methylation	Spine bone mineral content	Age and technical covariates	Beta values	g	Illumina HumanMethylation450	Whole blood	-	692	1	-	48	-	692	692	-	-	-	-	-	Battram-T_spine_bone_mineral_content
Battram T	ARIES	-	09/04/2019	Spine bone mineral density	EFO_0007701	-	-	DNA methylation	Spine bone mineral density	Age and technical covariates	Beta values	g/cm2	Illumina HumanMethylation450	Whole blood	-	693	1	-	48	-	693	693	-	-	-	-	-	Battram-T_spine_bone_mineral_density
Battram T	ARIES	-	09/04/2019	Strength index	-	-	-	DNA methylation	Strength index	Age and technical covariates	Beta values		Illumina HumanMethylation450	Whole blood	-	659	1	-	48	-	659	659	-	-	-	-	-	Battram-T_strength_index
Battram T	ARIES	-	09/04/2019	Theta neck angle	-	-	-	DNA methylation	Theta neck angle	Age and technical covariates	Beta values		Illumina HumanMethylation450	Whole blood	-	658	1	-	48	-	658	658	-	-	-	-	-	Battram-T_theta_neck_angle
Battram T	ARIES	-	09/04/2019	Total area	-	-	-	DNA methylation	Total area	Age and technical covariates	Beta values	cm2	Illumina HumanMethylation450	Whole blood	-	693	1	-	48	-	693	693	-	-	-	-	-	Battram-T_total_area
Battram T	ARIES	-	09/04/2019	Total bone mineral content	EFO_0007621	-	-	DNA methylation	Total bone mineral content	Age and technical covariates	Beta values	g	Illumina HumanMethylation450	Whole blood	-	693	1	-	48	-	693	693	-	-	-	-	-	Battram-T_total_bone_mineral_content
Battram T	ARIES	-	09/04/2019	Total bone mineral density	EFO_0007591	-	-	DNA methylation	Total bone mineral density	Age and technical covariates	Beta values	g/cm2	Illumina HumanMethylation450	Whole blood	-	693	1	-	48	-	693	693	-	-	-	-	-	Battram-T_total_bone_mineral_density
Battram T	ARIES	-	09/04/2019	Total bone mass	-	-	-	DNA methylation	Total bone mass	Age and technical covariates	Beta values	g	Illumina HumanMethylation450	Whole blood	-	693	1	-	48	-	693	693	-	-	-	-	-	Battram-T_total_bone_mass
Battram T	ARIES	-	09/04/2019	Total cholesterol in chylomicrons and extremely large VLDL	EFO_0004574	-	-	DNA methylation	Total cholesterol in chylomicrons and extremely large VLDL	Age and technical covariates	Beta values	mmol/l	Illumina HumanMethylation450	Whole blood	-	648	1	-	48	-	648	648	-	-	-	-	-	Battram-T_total_cholesterol_in_chylomicrons_and_extremely_large_vldl
Battram T	ARIES	-	09/04/2019	Total cholesterol in HDL	EFO_0004574	-	-	DNA methylation	Total cholesterol in HDL	Age and technical covariates	Beta values	mmol/l	Illumina HumanMethylation450	Whole blood	-	671	1	-	48	-	671	671	-	-	-	-	-	Battram-T_total_cholesterol_in_hdl
Battram T	ARIES	-	09/04/2019	Total cholesterol in HDL	EFO_0004574	-	-	DNA methylation	Total cholesterol in HDL	Age and technical covariates	Beta values	mmol/l	Illumina HumanMethylation450	Whole blood	-	670	1	-	48	-	670	670	-	-	-	-	-	Battram-T_total_cholesterol_in_hdl
Battram T	ARIES	-	09/04/2019	Total cholesterol in HDL	EFO_0004574	-	-	DNA methylation	Total cholesterol in HDL	Age and technical covariates	Beta values	mmol/l	Illumina HumanMethylation450	Whole blood	-	672	1	-	48	-	672	672	-	-	-	-	-	Battram-T_total_cholesterol_in_hdl
Battram T	ARIES	-	09/04/2019	Total cholesterol in IDL	EFO_0004574	-	-	DNA methylation	Total cholesterol in IDL	Age and technical covariates	Beta values	mmol/l	Illumina HumanMethylation450	Whole blood	-	672	1	-	48	-	672	672	-	-	-	-	-	Battram-T_total_cholesterol_in_idl
Battram T	ARIES	-	09/04/2019	Total cholesterol in large HDL	EFO_0004574	-	-	DNA methylation	Total cholesterol in large HDL	Age and technical covariates	Beta values	mmol/l	Illumina HumanMethylation450	Whole blood	-	672	1	-	48	-	672	672	-	-	-	-	-	Battram-T_total_cholesterol_in_large_hdl
Battram T	ARIES	-	09/04/2019	Total cholesterol in large LDL	EFO_0004574	-	-	DNA methylation	Total cholesterol in large LDL	Age and technical covariates	Beta values	mmol/l	Illumina HumanMethylation450	Whole blood	-	672	1	-	48	-	672	672	-	-	-	-	-	Battram-T_total_cholesterol_in_large_ldl
Battram T	ARIES	-	09/04/2019	Total cholesterol in large VLDL	EFO_0004574	-	-	DNA methylation	Total cholesterol in large VLDL	Age and technical covariates	Beta values	mmol/l	Illumina HumanMethylation450	Whole blood	-	653	1	-	48	-	653	653	-	-	-	-	-	Battram-T_total_cholesterol_in_large_vldl
Battram T	ARIES	-	09/04/2019	Total cholesterol in LDL	EFO_0004574	-	-	DNA methylation	Total cholesterol in LDL	Age and technical covariates	Beta values	mmol/l	Illumina HumanMethylation450	Whole blood	-	672	1	-	48	-	672	672	-	-	-	-	-	Battram-T_total_cholesterol_in_ldl
Battram T	ARIES	-	09/04/2019	Total cholesterol in medium HDL	EFO_0004574	-	-	DNA methylation	Total cholesterol in medium HDL	Age and technical covariates	Beta values	mmol/l	Illumina HumanMethylation450	Whole blood	-	672	1	-	48	-	672	672	-	-	-	-	-	Battram-T_total_cholesterol_in_medium_hdl
Battram T	ARIES	-	09/04/2019	Total cholesterol in medium LDL	EFO_0004574	-	-	DNA methylation	Total cholesterol in medium LDL	Age and technical covariates	Beta values	mmol/l	Illumina HumanMethylation450	Whole blood	-	672	1	-	48	-	672	672	-	-	-	-	-	Battram-T_total_cholesterol_in_medium_ldl
Battram T	ARIES	-	09/04/2019	Total cholesterol in medium VLDL	EFO_0004574	-	-	DNA methylation	Total cholesterol in medium VLDL	Age and technical covariates	Beta values	mmol/l	Illumina HumanMethylation450	Whole blood	-	662	1	-	48	-	662	662	-	-	-	-	-	Battram-T_total_cholesterol_in_medium_vldl
Battram T	ARIES	-	09/04/2019	Total cholesterol in small HDL	EFO_0004574	-	-	DNA methylation	Total cholesterol in small HDL	Age and technical covariates	Beta values	mmol/l	Illumina HumanMethylation450	Whole blood	-	671	1	-	48	-	671	671	-	-	-	-	-	Battram-T_total_cholesterol_in_small_hdl
Battram T	ARIES	-	09/04/2019	Total cholesterol in small LDL	EFO_0004574	-	-	DNA methylation	Total cholesterol in small LDL	Age and technical covariates	Beta values	mmol/l	Illumina HumanMethylation450	Whole blood	-	672	1	-	48	-	672	672	-	-	-	-	-	Battram-T_total_cholesterol_in_small_ldl
Battram T	ARIES	-	09/04/2019	Total cholesterol in small VLDL	EFO_0004574	-	-	DNA methylation	Total cholesterol in small VLDL	Age and technical covariates	Beta values	mmol/l	Illumina HumanMethylation450	Whole blood	-	671	1	-	48	-	671	671	-	-	-	-	-	Battram-T_total_cholesterol_in_small_vldl
Battram T	ARIES	-	09/04/2019	Total cholesterol in very large VLDL	EFO_0004574	-	-	DNA methylation	Total cholesterol in very large VLDL	Age and technical covariates	Beta values	mmol/l	Illumina HumanMethylation450	Whole blood	-	633	1	-	48	-	633	633	-	-	-	-	-	Battram-T_total_cholesterol_in_very_large_vldl
Battram T	ARIES	-	09/04/2019	Total cholesterol in very small VLDL	EFO_0004574	-	-	DNA methylation	Total cholesterol in very small VLDL	Age and technical covariates	Beta values	mmol/l	Illumina HumanMethylation450	Whole blood	-	672	1	-	48	-	672	672	-	-	-	-	-	Battram-T_total_cholesterol_in_very_small_vldl
Battram T	ARIES	-	09/04/2019	Total cholesterol in VLDL	EFO_0004574	-	-	DNA methylation	Total cholesterol in VLDL	Age and technical covariates	Beta values	mmol/l	Illumina HumanMethylation450	Whole blood	-	668	1	-	48	-	668	668	-	-	-	-	-	Battram-T_total_cholesterol_in_vldl
